立案時間,派工項目,案件地址,經緯度,longitude,latitude
2017/10/9 20:01,路燈故障或設施損壞,萬華區國興路,"(25.0253994, 121.5070951)",25.0253994, 121.5070951
2017/10/9 20:38,路燈故障或設施損壞,南港區,"(25.0312347, 121.6111949)",25.0312347, 121.6111949
2017/10/9 20:56,鄰里無主垃圾清運,文山區興隆路二段,"(25.0006984, 121.5493411)",25.0006984, 121.5493411
2017/10/9 21:14,路燈故障或設施損壞,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/9 21:27,鄰里無主垃圾清運,士林區延平北路六段,"(25.0895319, 121.5031555)",25.0895319, 121.5031555
2017/10/9 21:53,交通號誌異常,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2017/10/9 22:51,路燈故障或設施損壞,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/9 22:58,鄰里無主垃圾清運,中正區南昌路一段,"(25.031672, 121.5168693)",25.031672, 121.5168693
2017/10/9 23:00,鄰里無主垃圾清運,萬華區成都路,"(25.0431266, 121.5044307)",25.0431266, 121.5044307
2017/10/9 23:12,路燈故障或設施損壞,中山區明水路,"(25.07747, 121.5457086)",25.07747, 121.5457086
2017/10/9 23:30,路燈故障或設施損壞,大安區四維路170巷,"(25.0282013, 121.5472687)",25.0282013, 121.5472687
2017/10/9 23:35,路燈故障或設施損壞,信義區中強公園,"(25.030418, 121.570112)",25.030418, 121.570112
2017/10/10 00:08,鄰里無主垃圾清運,南港區北市南港區松河街650號,"(25.0596456, 121.6089356)",25.0596456, 121.6089356
2017/10/10 00:17,路燈故障或設施損壞,內湖區大湖山莊街96巷,"(25.0879555, 121.6039992)",25.0879555, 121.6039992
2017/10/10 00:18,路燈故障或設施損壞,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2017/10/10 01:01,路燈故障或設施損壞,中山區濱江街,"(25.0721434, 121.5460949)",25.0721434, 121.5460949
2017/10/10 03:01,路燈故障或設施損壞,大安區仁愛路四段91巷,"(25.0385598, 121.5471153)",25.0385598, 121.5471153
2017/10/10 09:15,鄰里無主垃圾清運,文山區木柵路一段238巷15弄,"(24.9876376, 121.553531)",24.9876376, 121.553531
2017/10/10 09:28,路燈故障或設施損壞,信義區永吉路278巷42弄,"(25.0442239, 121.5734439)",25.0442239, 121.5734439
2017/10/10 09:46,鄰里無主垃圾清運,中正區武昌街一段,"(25.04411, 121.5115142)",25.04411, 121.5115142
2017/10/10 09:50,路燈故障或設施損壞,士林區社中街,"(25.0917608, 121.5069005)",25.0917608, 121.5069005
