立案時間,派工項目,案件地址,經緯度,longitude,latitude
2016-03-01 00:16,道路散落物,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-01 02:31,鄰里無主垃圾清運,中山區伊通街,"(25.0514006, 121.534785)",25.0514006, 121.534785
2016-03-01 05:28,路燈故障或設施損壞,內湖區金龍路222巷,"(25.0880452, 121.5858684)",25.0880452, 121.5858684
2016-03-01 06:35,交通號誌異常,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-01 06:51,鄰里無主垃圾清運,大同區長安西路172巷,"(25.0506731, 121.5159981)",25.0506731, 121.5159981
2016-03-01 07:49,鄰里無主垃圾清運,文山區興隆路四段74巷,"(24.9839272, 121.561188)",24.9839272, 121.561188
2016-03-01 07:51,交通號誌異常,松山區民權東路五段,"(25.0632821, 121.5658994)",25.0632821, 121.5658994
2016-03-01 08:16,交通號誌異常,大同區,"(25.0627243, 121.5113064)",25.0627243, 121.5113064
2016-03-01 08:19,雨水下水道側溝清淤,士林區通河東街一段124巷,"(25.086596, 121.5163272)",25.086596, 121.5163272
2016-03-01 08:20,交通號誌異常,大安區新生南路三段,"(25.0211933, 121.5341615)",25.0211933, 121.5341615
2016-03-01 08:39,鄰里無主垃圾清運,中山區一江街,"(25.05263, 121.5315281)",25.05263, 121.5315281
2016-03-01 08:40,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-01 09:20,路燈故障或設施損壞,文山區興隆路二段96巷,"(24.9988591, 121.550318)",24.9988591, 121.550318
2016-03-01 09:17,路燈故障或設施損壞,中山區新生北路三段,"(25.0666887, 121.5276528)",25.0666887, 121.5276528
2016-03-01 09:20,道路散落物,北投區中央北路四段,"(25.1298722, 121.4715223)",25.1298722, 121.4715223
2016-03-01 09:37,路燈故障或設施損壞,北投區泉源路,"(25.1420304, 121.5175551)",25.1420304, 121.5175551
2016-03-01 09:34,路燈故障或設施損壞,內湖區文湖街21巷,"(25.0889433, 121.5600512)",25.0889433, 121.5600512
2016-03-01 09:36,道路散落物,北投區中央北路四段,"(25.1298722, 121.4715223)",25.1298722, 121.4715223
2016-03-01 09:36,鄰里無主垃圾清運,松山區八德路四段106巷10弄,"(25.0467546, 121.560692)",25.0467546, 121.560692
2016-03-01 09:40,交通號誌異常,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-01 09:58,路燈故障或設施損壞,松山區新中街4巷,"(25.0577224, 121.5616808)",25.0577224, 121.5616808
2016-03-01 09:58,路燈故障或設施損壞,中山區新生北路三段,"(25.0666887, 121.5276528)",25.0666887, 121.5276528
2016-03-01 10:05,交通號誌異常,松山區,"(25.0541591, 121.5638621)",25.0541591, 121.5638621
2016-03-01 10:19,交通號誌異常,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 10:44,道路散落物,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-01 10:58,鄰里無主垃圾清運,信義區虎林街164巷60弄,"(25.0384149, 121.573972)",25.0384149, 121.573972
2016-03-01 11:01,道路散落物,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-01 11:03,路燈故障或設施損壞,內湖區文湖街21巷112弄,"(25.0909505, 121.5603108)",25.0909505, 121.5603108
2016-03-01 11:07,雨水下水道側溝清淤,大同區迪化街二段146巷,"(25.0675666, 121.5094724)",25.0675666, 121.5094724
2016-03-01 11:15,雨水下水道側溝清淤,大安區信義路四段294巷,"(25.0330119, 121.5543504)",25.0330119, 121.5543504
2016-03-01 11:40,路燈故障或設施損壞,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2016-03-01 12:15,鄰里無主垃圾清運,大同區雙連街,"(25.058882, 121.5189927)",25.058882, 121.5189927
2016-03-01 12:43,路燈故障或設施損壞,松山區市民大道六段,"(25.0492013, 121.5748262)",25.0492013, 121.5748262
2016-03-01 12:55,雨水下水道側溝清淤,內湖區成功路四段223巷6弄,"(25.0839989, 121.5972088)",25.0839989, 121.5972088
2016-03-01 13:16,交通號誌異常,北投區石牌路二段,"(25.1188949, 121.5210654)",25.1188949, 121.5210654
2016-03-01 13:42,鄰里無主垃圾清運,大安區瑞安街,"(25.0288893, 121.5416416)",25.0288893, 121.5416416
2016-03-01 14:21,道路油漬,內湖區民權東路六段,"(25.0690834, 121.5892012)",25.0690834, 121.5892012
2016-03-01 14:41,雨水下水道側溝清淤,大安區和平東路一段,"(25.0266163, 121.5287716)",25.0266163, 121.5287716
2016-03-01 14:41,道路散落物,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-01 14:41,道路油漬,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-01 14:46,交通號誌異常,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-01 14:51,雨水下水道側溝清淤,中正區南昌路一段,"(25.031672, 121.5168693)",25.031672, 121.5168693
2016-03-01 14:52,路燈故障或設施損壞,士林區前街115巷,"(25.0988379, 121.5258208)",25.0988379, 121.5258208
2016-03-01 15:15,鄰里無主垃圾清運,士林區文昌路,"(25.0977855, 121.5205909)",25.0977855, 121.5205909
2016-03-01 15:53,鄰里無主垃圾清運,文山區景文街,"(24.9911127, 121.541287)",24.9911127, 121.541287
2016-03-01 16:03,路燈故障或設施損壞,士林區仰德大道二段2巷,"(25.1018388, 121.5410552)",25.1018388, 121.5410552
2016-03-01 16:10,鄰里無主垃圾清運,中正區南昌路一段126巷,"(25.0293859, 121.5178962)",25.0293859, 121.5178962
2016-03-01 16:20,交通號誌桿損壞或電纜線垂落,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2016-03-01 16:27,鄰里無主垃圾清運,信義區永吉路120巷15弄,"(25.045009, 121.5703023)",25.045009, 121.5703023
2016-03-01 16:43,鄰里無主垃圾清運,萬華區成都路133巷3弄,"(25.0436293, 121.5036358)",25.0436293, 121.5036358
2016-03-01 16:57,交通號誌異常,士林區延平北路七段150巷,"(25.0994368, 121.4935323)",25.0994368, 121.4935323
2016-03-01 17:01,鄰里無主垃圾清運,中山區林森北路119巷,"(25.0503306, 121.5268262)",25.0503306, 121.5268262
2016-03-01 17:03,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-01 17:13,雨水下水道側溝清淤,中山區林森北路159巷,"(25.0515223, 121.5264876)",25.0515223, 121.5264876
2016-03-01 17:21,道路散落物,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-01 17:23,交通號誌異常,文山區木柵路二段2巷,"(24.9882534, 121.558106)",24.9882534, 121.558106
2016-03-01 17:31,交通號誌異常,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-01 17:36,道路散落物,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-01 17:37,交通號誌異常,萬華區萬大路,"(25.0239154, 121.5000703)",25.0239154, 121.5000703
2016-03-01 17:54,鄰里無主垃圾清運,松山區南京東路四段75巷14弄,"(25.0522592, 121.5532539)",25.0522592, 121.5532539
2016-03-01 18:17,交通號誌異常,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2016-03-01 18:27,路燈故障或設施損壞,文山區萬寧街,"(25.0034608, 121.5671688)",25.0034608, 121.5671688
2016-03-01 18:42,交通號誌異常,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-01 18:46,路燈故障或設施損壞,士林區社中街,"(25.0917608, 121.5069005)",25.0917608, 121.5069005
2016-03-01 18:45,路燈故障或設施損壞,南港區重陽路423巷,"(25.0592705, 121.6089937)",25.0592705, 121.6089937
2016-03-01 18:46,路燈故障或設施損壞,文山區指南路二段45巷,"(24.9888558, 121.5744793)",24.9888558, 121.5744793
2016-03-01 18:54,路燈故障或設施損壞,中正區臨沂街13巷,"(25.0422534, 121.5311366)",25.0422534, 121.5311366
2016-03-01 19:03,路燈故障或設施損壞,文山區萬寧街36巷,"(25.0029432, 121.5655123)",25.0029432, 121.5655123
2016-03-01 19:24,道路散落物,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-01 19:28,道路散落物,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2016-03-01 19:35,雨水下水道側溝清淤,大安區東豐街,"(25.0360067, 121.5460276)",25.0360067, 121.5460276
2016-03-01 19:57,路燈故障或設施損壞,士林區建業路68巷10弄,"(25.1370888, 121.550996)",25.1370888, 121.550996
2016-03-01 20:03,鄰里無主垃圾清運,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-01 20:12,鄰里無主垃圾清運,大安區和平東路三段346巷5弄,"(25.0189971, 121.5576345)",25.0189971, 121.5576345
2016-03-01 20:13,路燈故障或設施損壞,士林區文昌路,"(25.0977855, 121.5205909)",25.0977855, 121.5205909
2016-03-01 20:56,路燈故障或設施損壞,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-01 20:55,鄰里無主垃圾清運,文山區富山路1巷,"(24.9886407, 121.5533319)",24.9886407, 121.5533319
2016-03-01 21:29,道路散落物,內湖區民權東路六段,"(25.0690834, 121.5892012)",25.0690834, 121.5892012
2016-03-01 21:48,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 21:49,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 21:54,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 22:02,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 21:59,道路散落物,士林區中山北路五段,"(25.091627, 121.5275544)",25.091627, 121.5275544
2016-03-01 22:09,路燈故障或設施損壞,文山區新光路一段,"(24.9914992, 121.5736787)",24.9914992, 121.5736787
2016-03-01 22:10,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 22:22,道路散落物,士林區中山北路五段,"(25.091627, 121.5275544)",25.091627, 121.5275544
2016-03-01 22:23,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 22:26,鄰里無主垃圾清運,中山區農安街,"(25.0649049, 121.5290343)",25.0649049, 121.5290343
2016-03-01 22:33,鄰里無主垃圾清運,中山區農安街,"(25.0649049, 121.5290343)",25.0649049, 121.5290343
2016-03-01 23:06,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-01 23:14,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-02 00:41,路燈故障或設施損壞,士林區社中街,"(25.0917608, 121.5069005)",25.0917608, 121.5069005
2016-03-02 01:59,路燈故障或設施損壞,信義區永吉路30巷,"(25.0435587, 121.5687653)",25.0435587, 121.5687653
2016-03-02 02:29,道路散落物,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-03 10:24,路燈故障或設施損壞,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-02 06:08,道路散落物,士林區文林北路,"(25.1070549, 121.5152744)",25.1070549, 121.5152744
2016-03-02 07:53,鄰里無主垃圾清運,信義區松勤路,"(25.0319974, 121.5646023)",25.0319974, 121.5646023
2016-03-02 07:57,道路散落物,中正區愛國西路,"(25.0354762, 121.5117051)",25.0354762, 121.5117051
2016-03-02 08:12,交通號誌異常,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-02 08:28,道路散落物,中正區中華路一段,"(25.0439908, 121.5087626)",25.0439908, 121.5087626
2016-03-02 08:44,道路散落物,大同區環河北路二段,"(25.070385, 121.5091997)",25.070385, 121.5091997
2016-03-02 08:49,道路散落物,大同區環河北路二段,"(25.070385, 121.5091997)",25.070385, 121.5091997
2016-03-02 09:04,道路散落物,大同區環河北路二段,"(25.070385, 121.5091997)",25.070385, 121.5091997
2016-03-02 09:10,鄰里無主垃圾清運,中山區中山北路二段77巷,"(25.0574996, 121.5239869)",25.0574996, 121.5239869
2016-03-02 09:45,路燈故障或設施損壞,中正區新生南路一段140巷,"(25.0361275, 121.5321774)",25.0361275, 121.5321774
2016-03-02 09:56,交通號誌異常,萬華區康定路,"(25.0395722, 121.5019266)",25.0395722, 121.5019266
2016-03-02 09:58,道路散落物,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-02 10:04,鄰里無主垃圾清運,北投區復興三路152巷,"(25.1496219, 121.5071653)",25.1496219, 121.5071653
2016-03-02 10:05,雨水下水道側溝清淤,中山區中山北路二段65巷,"(25.0570841, 121.5240304)",25.0570841, 121.5240304
2016-03-02 10:18,雨水下水道側溝清淤,北投區義理街,"(25.1172739, 121.5157647)",25.1172739, 121.5157647
2016-03-02 10:20,路燈故障或設施損壞,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-02 10:35,鄰里無主垃圾清運,萬華區康定路,"(25.0395722, 121.5019266)",25.0395722, 121.5019266
2016-03-02 10:41,路燈故障或設施損壞,北投區中央北路四段142巷,"(25.1335049, 121.4756588)",25.1335049, 121.4756588
2016-03-02 10:48,道路油漬,大同區重慶北路三段,"(25.070191, 121.5136876)",25.070191, 121.5136876
2016-03-02 10:54,道路散落物,南港區經貿二路157巷,"(25.0603169, 121.6172289)",25.0603169, 121.6172289
2016-03-02 10:57,道路散落物,北投區中央北路四段,"(25.1298722, 121.4715223)",25.1298722, 121.4715223
2016-03-02 10:59,道路油漬,北投區中央北路四段,"(25.1298722, 121.4715223)",25.1298722, 121.4715223
2016-03-02 11:02,鄰里無主垃圾清運,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-02 11:11,鄰里無主垃圾清運,南港區忠孝東路六段,"(25.0492267, 121.5890952)",25.0492267, 121.5890952
2016-03-02 11:18,交通標誌損壞、傾斜,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-02 11:34,鄰里無主垃圾清運,大安區延吉街70巷2弄,"(25.0430894, 121.5536626)",25.0430894, 121.5536626
2016-03-02 11:33,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-02 11:40,道路散落物,內湖區安康路22巷,"(25.0618305, 121.5936986)",25.0618305, 121.5936986
2016-03-02 12:00,道路散落物,內湖區民權東路六段206巷12弄,"(25.0675585, 121.595552)",25.0675585, 121.595552
2016-03-02 12:15,道路散落物,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-02 12:21,道路散落物,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-02 12:38,交通標誌損壞、傾斜,中山區林森北路,"(25.0566487, 121.5254942)",25.0566487, 121.5254942
2016-03-02 12:47,雨水下水道側溝清淤,信義區莊敬路289巷4弄,"(25.0289846, 121.5633841)",25.0289846, 121.5633841
2016-03-02 13:01,交通號誌異常,萬華區寶興街,"(25.0251828, 121.4947082)",25.0251828, 121.4947082
2016-03-02 13:16,雨水下水道側溝清淤,內湖區行善路281巷19弄,"(25.0614989, 121.5851925)",25.0614989, 121.5851925
2016-03-02 13:17,交通號誌異常,萬華區萬大路,"(25.0239154, 121.5000703)",25.0239154, 121.5000703
2016-03-02 13:25,交通號誌異常,萬華區萬大路,"(25.0239154, 121.5000703)",25.0239154, 121.5000703
2016-03-02 13:34,鄰里無主垃圾清運,中正區濟南路二段,"(25.0406243, 121.5300315)",25.0406243, 121.5300315
2016-03-02 13:40,交通號誌異常,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-02 13:39,鄰里無主垃圾清運,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-02 13:47,路燈故障或設施損壞,文山區新光路一段,"(24.9914992, 121.5736787)",24.9914992, 121.5736787
2016-03-02 14:40,雨水下水道側溝清淤,文山區興隆路二段153巷1弄,"(25.0003159, 121.5477808)",25.0003159, 121.5477808
2016-03-02 15:00,道路散落物,文山區,"(24.9929212, 121.57125)",24.9929212, 121.57125
2016-03-02 15:06,道路油漬,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-02 15:06,道路散落物,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2016-03-02 15:38,交通號誌異常,大同區,"(25.0627243, 121.5113064)",25.0627243, 121.5113064
2016-03-02 15:53,交通號誌異常,中山區長安東路一段,"(25.0489386, 121.5255248)",25.0489386, 121.5255248
2016-03-02 16:09,路燈故障或設施損壞,文山區和平東路四段101巷2弄,"(25.0053464, 121.5682442)",25.0053464, 121.5682442
2016-03-02 16:29,交通號誌異常,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-02 16:48,路燈故障或設施損壞,士林區通河西街一段,"(25.0807714, 121.5140705)",25.0807714, 121.5140705
2016-03-02 17:08,路燈故障或設施損壞,文山區景美街,"(24.9916431, 121.5416403)",24.9916431, 121.5416403
2016-03-02 17:23,鄰里無主垃圾清運,中山區錦州路,"(25.06039, 121.5337798)",25.06039, 121.5337798
2016-03-02 17:42,鄰里無主垃圾清運,萬華區西園路二段320巷73弄,"(25.0278263, 121.491052)",25.0278263, 121.491052
2016-03-02 17:51,鄰里無主垃圾清運,中山區吉林路,"(25.0581536, 121.5302038)",25.0581536, 121.5302038
2016-03-02 18:19,路燈故障或設施損壞,大安區復興南路一段79巷,"(25.044674, 121.5451521)",25.044674, 121.5451521
2016-03-02 18:36,路燈故障或設施損壞,文山區木新路一段,"(24.9892031, 121.5706788)",24.9892031, 121.5706788
2016-03-02 18:45,路樹處理,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-02 18:55,路燈故障或設施損壞,中山區新生北路二段,"(25.0572859, 121.5273081)",25.0572859, 121.5273081
2016-03-02 19:01,路燈故障或設施損壞,文山區忠順街二段85巷,"(24.9860306, 121.5656327)",24.9860306, 121.5656327
2016-03-02 18:59,路燈故障或設施損壞,文山區忠順街二段87巷,"(24.9863895, 121.564966)",24.9863895, 121.564966
2016-03-02 19:08,路燈故障或設施損壞,南港區,"(25.0312347, 121.6111949)",25.0312347, 121.6111949
2016-03-02 19:11,鄰里無主垃圾清運,中正區泉州路,"(25.0282063, 121.5145717)",25.0282063, 121.5145717
2016-03-02 19:35,交通號誌桿損壞或電纜線垂落,北投區光明路,"(25.1361858, 121.5052838)",25.1361858, 121.5052838
2016-03-02 19:59,路燈故障或設施損壞,大安區延吉街236巷,"(25.0362069, 121.5551134)",25.0362069, 121.5551134
2016-03-02 20:14,交通號誌異常,士林區承德路四段301巷,"(25.0908745, 121.519082)",25.0908745, 121.519082
2016-03-02 21:02,路燈故障或設施損壞,信義區基隆路一段,"(25.0412332, 121.564626)",25.0412332, 121.564626
2016-03-02 21:16,鄰里無主垃圾清運,中山區遼寧街,"(25.0524996, 121.5420611)",25.0524996, 121.5420611
2016-03-02 21:16,路燈故障或設施損壞,文山區新光路一段,"(24.9914992, 121.5736787)",24.9914992, 121.5736787
2016-03-02 21:19,交通號誌異常,大安區復興南路一段,"(25.0398261, 121.5438277)",25.0398261, 121.5438277
2016-03-02 21:24,鄰里無主垃圾清運,中山區八德路二段267巷9弄,"(25.0474532, 121.5417947)",25.0474532, 121.5417947
2016-03-02 21:28,路燈故障或設施損壞,大安區和平東路三段,"(25.0185113, 121.55844)",25.0185113, 121.55844
2016-03-02 21:29,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-02 22:03,雨水下水道側溝清淤,松山區民族東路668巷2弄,"(25.0650477, 121.5456304)",25.0650477, 121.5456304
2016-03-02 22:15,路燈故障或設施損壞,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2016-03-02 22:31,道路散落物,中山區松江路90巷,"(25.050521, 121.5314671)",25.050521, 121.5314671
2016-03-02 22:36,鄰里無主垃圾清運,南港區,"(25.0312347, 121.6111949)",25.0312347, 121.6111949
2016-03-02 22:55,交通號誌異常,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-02 23:05,路燈故障或設施損壞,大安區建國高架道路,"(25.033299, 121.5377536)",25.033299, 121.5377536
2016-03-02 23:13,道路散落物,北投區,"(25.1151759, 121.515018)",25.1151759, 121.515018
2016-03-03 00:03,鄰里無主垃圾清運,大安區敦化南路一段161巷,"(25.0435109, 121.5507921)",25.0435109, 121.5507921
2016-03-03 04:13,交通號誌異常,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-03 05:15,交通號誌異常,信義區,"(25.0287024, 121.5769572)",25.0287024, 121.5769572
2016-03-03 06:07,鄰里無主垃圾清運,中正區中華路二段81巷,"(25.0328248, 121.5065859)",25.0328248, 121.5065859
2016-03-03 06:59,道路散落物,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2016-03-03 07:33,路燈故障或設施損壞,信義區松山路,"(25.0365045, 121.5814554)",25.0365045, 121.5814554
2016-03-03 08:25,交通號誌異常,北投區,"(25.1151759, 121.515018)",25.1151759, 121.515018
2016-03-03 08:50,交通號誌異常,中正區忠孝西路二段16巷,"(25.0478813, 121.5084711)",25.0478813, 121.5084711
2016-03-03 08:54,鄰里無主垃圾清運,中正區汀州路一段306巷,"(25.0263589, 121.5117454)",25.0263589, 121.5117454
2016-03-03 09:13,交通號誌異常,松山區南京東路五段123巷66弄,"(25.0534852, 121.5608194)",25.0534852, 121.5608194
2016-03-03 09:28,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-03 09:33,交通號誌異常,文山區木柵路三段,"(24.9886846, 121.5674548)",24.9886846, 121.5674548
2016-03-03 09:42,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-03 09:42,路燈故障或設施損壞,內湖區內湖路一段411巷,"(25.0834947, 121.5716817)",25.0834947, 121.5716817
2016-03-03 09:53,鄰里無主垃圾清運,中正區金門街,"(25.0218477, 121.5234843)",25.0218477, 121.5234843
2016-03-03 10:15,鄰里無主垃圾清運,中山區南京東路一段,"(25.0521951, 121.5253519)",25.0521951, 121.5253519
2016-03-03 10:39,路燈故障或設施損壞,北投區公舘路,"(25.1243779, 121.5062101)",25.1243779, 121.5062101
2016-03-03 10:39,鄰里無主垃圾清運,松山區南京東路三段303巷6弄,"(25.0524258, 121.5467277)",25.0524258, 121.5467277
2016-03-03 10:45,鄰里無主垃圾清運,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-03 11:20,人孔蓋破損處理,信義區忠孝東路四段559巷,"(25.0427139, 121.5636719)",25.0427139, 121.5636719
2016-03-03 11:36,鄰里無主垃圾清運,大安區樂業街,"(25.0211357, 121.5517228)",25.0211357, 121.5517228
2016-03-03 11:40,鄰里無主垃圾清運,大安區敦化南路一段190巷,"(25.0426422, 121.5472074)",25.0426422, 121.5472074
2016-03-03 11:59,雨水下水道側溝清淤,中山區林森北路159巷,"(25.0515223, 121.5264876)",25.0515223, 121.5264876
2016-03-03 12:00,鄰里無主垃圾清運,信義區永吉路120巷15弄,"(25.045009, 121.5703023)",25.045009, 121.5703023
2016-03-03 12:09,鄰里無主垃圾清運,中正區水源路,"(25.021542, 121.5174994)",25.021542, 121.5174994
2016-03-03 12:22,鄰里無主垃圾清運,信義區永吉路180巷30弄,"(25.0446713, 121.5712771)",25.0446713, 121.5712771
2016-03-03 12:53,交通號誌異常,萬華區萬大路,"(25.0239154, 121.5000703)",25.0239154, 121.5000703
2016-03-03 13:02,路樹處理,文山區萬壽街61巷,"(25.0696066, 121.5007104)",25.0696066, 121.5007104
2016-03-03 13:00,交通號誌異常,萬華區萬大路,"(25.0239154, 121.5000703)",25.0239154, 121.5000703
2016-03-03 13:07,鄰里無主垃圾清運,南港區合順街8巷5弄,"(25.0420096, 121.6191164)",25.0420096, 121.6191164
2016-03-03 13:11,交通號誌異常,大同區重慶北路三段,"(25.070191, 121.5136876)",25.070191, 121.5136876
2016-03-03 13:26,路燈故障或設施損壞,士林區平菁街93巷,"(25.1381726, 121.5781778)",25.1381726, 121.5781778
2016-03-03 13:29,交通號誌異常,萬華區萬大路,"(25.0239154, 121.5000703)",25.0239154, 121.5000703
2016-03-03 13:39,道路散落物,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-03 13:47,路面下陷掏空,北投區石牌路一段,"(25.1140183, 121.5122131)",25.1140183, 121.5122131
2016-03-03 13:55,道路油漬,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-03 13:58,人孔蓋破損處理,南港區東新街171巷,"(25.0462089, 121.5912653)",25.0462089, 121.5912653
2016-03-03 14:17,路樹處理,文山區老泉路45巷,"(24.9794845, 121.5662549)",24.9794845, 121.5662549
2016-03-03 14:49,路燈故障或設施損壞,北投區溫泉路,"(25.1361618, 121.5086192)",25.1361618, 121.5086192
2016-03-03 14:49,交通號誌異常,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-03 14:51,鄰里無主垃圾清運,中正區武昌街一段,"(25.04411, 121.5115142)",25.04411, 121.5115142
2016-03-03 14:57,道路油漬,信義區永吉路,"(25.0455687, 121.5747841)",25.0455687, 121.5747841
2016-03-03 14:58,路樹處理,信義區永吉路,"(25.0455687, 121.5747841)",25.0455687, 121.5747841
2016-03-03 15:02,道路散落物,內湖區,"(25.0689422, 121.5909027)",25.0689422, 121.5909027
2016-03-03 15:27,交通號誌異常,士林區通河東街二段10巷,"(25.091379, 121.5153259)",25.091379, 121.5153259
2016-03-03 15:48,交通號誌異常,松山區市民大道五段,"(25.0472331, 121.5630308)",25.0472331, 121.5630308
2016-03-03 16:20,鄰里無主垃圾清運,中山區長安東路一段,"(25.0489386, 121.5255248)",25.0489386, 121.5255248
2016-03-03 16:25,路樹處理,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-03 16:22,交通號誌異常,士林區承德路五段,"(25.0940586, 121.5149305)",25.0940586, 121.5149305
2016-03-03 16:28,鄰里無主垃圾清運,信義區崇德街,"(25.0171627, 121.5659919)",25.0171627, 121.5659919
2016-03-03 16:30,鄰里無主垃圾清運,南港區舊莊街一段199巷16弄,"(25.0388525, 121.6222752)",25.0388525, 121.6222752
2016-03-03 16:41,鄰里無主垃圾清運,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2016-03-03 16:46,路樹處理,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-03 17:24,交通號誌異常,士林區承德路五段,"(25.0940586, 121.5149305)",25.0940586, 121.5149305
2016-03-03 17:37,道路散落物,南港區經貿一路,"(25.0589207, 121.6195358)",25.0589207, 121.6195358
2016-03-03 17:41,交通號誌異常,松山區南京東路五段123巷,"(25.0527759, 121.5608071)",25.0527759, 121.5608071
2016-03-03 17:46,鄰里無主垃圾清運,大安區羅斯福路二段81巷,"(25.0256371, 121.5244028)",25.0256371, 121.5244028
2016-03-03 18:07,雨水下水道側溝清淤,士林區承德路四段,"(25.0853394, 121.5232805)",25.0853394, 121.5232805
2016-03-03 18:22,雨水下水道側溝清淤,中正區天津街11巷,"(25.0474429, 121.5226314)",25.0474429, 121.5226314
2016-03-03 18:24,路燈故障或設施損壞,士林區天母西路50巷,"(25.1179055, 121.5248147)",25.1179055, 121.5248147
2016-03-03 18:34,路燈故障或設施損壞,士林區天母西路95巷,"(25.1193126, 121.5245936)",25.1193126, 121.5245936
2016-03-03 18:34,路燈故障或設施損壞,大安區通化街181巷13弄,"(25.0269985, 121.5540624)",25.0269985, 121.5540624
2016-03-03 18:36,路燈故障或設施損壞,中正區,"(25.0421407, 121.5198716)",25.0421407, 121.5198716
2016-03-03 18:41,路燈故障或設施損壞,松山區,"(25.0541591, 121.5638621)",25.0541591, 121.5638621
